Month,Start Date,Target Date,Date Completed,Owner,Description,Campaign,Status,Remarks
November,11/5/2025,12/20/2025,,Macky,BPI CRM Walk Through (Demo),,Ongoing,
November,11/5/2025,12/27/2025,,Macky,BPI CRM UAT/Risk Assessment,,Ongoing,
November,11/5/2025,12/31/2025,,Macky,BPI CRM Go Live,,Ongoing,
November,11/5/2025,12/19/2025,01/09/2026,Macky,MBACQ CRM UAT/Risk Assessment,,Ongoing,This is already used. Pending: Signing for documentation
November,11/5/2025,12/19/2025,12/19/2025,Macky,MBACQ CRM Live,,Ongoing,
November,11/5/2025,12/20/2025,12/20/2025,Macky,HRM UAT,,Completed,
November,11/5/2025,12/22/2025,12/22/2025,Macky,HRM Go Live,,Completed,Sir Kevin & Sir Macky
November,11/5/2025,01/16/2026,01/16/2026,Macky,BDO CRM Discussion w/ Sir Anthony,,Ongoing,Sir Kevin & Sir Macky
November,11/5/2025,,,Macky,BDO CRM UAT,,Ongoing,
November,11/5/2025,,,Macky,BDO CRM Go Live,,Ongoing,
November,11/5/2025,11/5/2025,11/5/2025,Macky,AIA CRM/Preview Dialer,,Completed,For Client's Approval
November,11/5/2025,12/22/2025,01/11/2026,Macky,Coaching System for all SSU,,Completed,For Deployment
November,11/5/2025,12/22/2025,,Macky,Coaching System ng Team Zette,,Ongoing,"Pending, dependent to I.T. Last follow up - 01/07/2026"
November,11/5/2025,01/11/2026,01/11/2026,Macky,Queing System,,Ongoing,"Dependent to Premises, already provided the System unit. Done follow up today"
November,11/5/2025,11/12/2025,11/10/2025,Emman,"Data Automation, Pipeline/Dashboard-Presentation",,Completed,
November,11/5/2025,1/7/2026,,Emman,"Data Automation, Pipeline/Dashboard-UAT",Metrobank Acqui,Ongoing,Done Discussion with MB OM & Compliance 
November,11/5/2025,1/14/2026,,Emman,"Data Automation, Pipeline/Dashboard-Risk Assessment Sign in",Metrobank Acqui,Ongoing,
November,11/5/2025,,,Kevin,E-Commerce,,Ongoing,Hold muna as per Sir Biboy 
November,11/5/2025,11/21/2025,,Jovie,Leased Line from CBL DAU to Clark Pampanga - PLDT,,Delayed,Pending Inside Wiring
November,11/5/2025,11/21/2025,,Jovie,Greenhills Data Center to DAU - Globe,,Ongoing,For termination C/o Sir Sonny
November,11/6/2025,10/17/2025,10/17/2025,Sonny,CBL-IT INFRA Setup Room 404,,Completed,
November,11/6/2025,10/15/2025,10/15/2025,Sonny,SSU Will Vacate Room 404,,Completed,
November,11/6/2025,11/28/1015,11/28/1015,Sonny,Workstation Replication,,Completed,
